,datetime,content,title
0,2021-06-09 21:09:28,英国30年期国债收益率触及4月23日以来最低水平，报1.266%，日内下跌4个基点。,
1,2021-06-09 21:07:52,市场消息：欧盟将在绿色协议下提出社会措施。,
2,2021-06-09 21:07:30,市场消息：欧盟二氧化碳排放的市场扩展将包括实施一些社会措施。,
3,2021-06-09 21:05:59,市场消息：谷歌将发起美国-阿根廷海底光缆的建设。,
4,2021-06-09 21:04:17,【波罗的海干散货运价指数止住10日跌势，因海岬型运费跳涨】波罗的海干散货运价指数周三上涨，止住10个交易日跌势，受海岬型运费跳升激励。波罗的海整体干散货运价指数上涨61点或2.5%，至2481点。海岬型船运价指数上涨95点或4%，至2488点。海岬型船日均获利上涨787美元，至20632美元。巴拿马型船运价指数上升72点或2.4%，至3065点，为5月12日以来最高。巴拿马型船日均获利上涨642美元，至27582美元。超灵便型船运价指数上涨29点，至2508点。,
5,2021-06-09 21:04:06,  【康龙化成：拟推2021年A股限制性股票激励计划】康龙化成发布2021年A股限制性股票激励计划(草案)，拟授予激励对象的限制性股票数量为77.42万股，占草案公告日公司股本总额的0.0975%。此次授予为一次性授予，无预留权益。该激励计划授予的激励对象共计204人。该激励计划授予激励对象限制性股票的授予价格为70.47元/股。,
6,2021-06-09 21:03:58,【美股盘前消息速报】①周三美股盘前，美国股指期货涨跌不一，波动不大，市场静待明日公布的美国通胀数据，交投愈发谨慎。②截至发稿，道指期货跌0.02%，标普500期指涨0.12%，纳指期货涨0.28%。③欧洲股市涨跌互现，英国富时100指数跌0.39%，法国CAC指数涨0.05%，德国DAX指数跌0.45%。④汇市方面，美元指数又跌破90关口，最低触及89.97；欧元、英镑等G10货币有所走高；现货黄金同样承压，仍然交投于1900下方。⑤美国10年期国债收益率跌破1.5%，为5月7日以来首次。⑥比特币日内一度上破35000美元/枚，日内涨近5%。萨尔瓦多国会投票批准总统提交的比特币作为法定货币的提案，萨尔瓦多成全球第一个采用比特币作为法定货币的国家。⑦美股区块链概念盘前普涨，第九城市涨超8%，嘉楠科技涨超2%，Riot Blockchain涨近2%。⑧WSB概念股盘前走强，Clover Health Investments涨18%，Rocket Companies涨超4%，游戏驿站涨超1%。⑨阳光动力盘前暴涨超40%，子公司Phoenix Motorcars开始生产第三代电动传动系统产品。,
7,2021-06-09 21:03:04,智利央行预测，2021年铜价为4.25美元/磅，2022年为4.00美元/磅。,
8,2021-06-09 21:02:09,智利央行预计，2021年该国的GDP增长率为8.5%至9.5%，高于此前预计的6%至7%。,
9,2021-06-09 21:01:59,【今日财经TOP10】➊「全国人大外事委员会就美通过“2021年美国创新和竞争法案”发表声明」➋「5月份中国CPI同比上涨1.3% 猪肉价格下降23.8％」➌「国家网信办：加大对区块链平台及衍生平台应用监测力度」➍「新华社解读：土地出让收入为何划转税务部门征收」➎「地方债反腐进行时，一官员薅平台公司羊毛推高政府债务被查」➏「80岁的老父亲，一顿操作，把闺女公司的股价搞崩了」➐「高考生将数学考题上传至小猿搜题 教育部还原事情经过」➑「TCL李东生：中国解决高端芯片问题 至少要五年时间」➒「大众探岳颗粒捕捉器问题频发：油耗百公里20升 4S店建议不开空调」➓「世卫组织-中国联合溯源报告：华南海鲜市场不是新冠病毒发源地」 https://finance.sina.com.cn/china/caijingtop10/2021-06-09/doc-ikqciyzi8710122.shtml,
10,2021-06-09 21:00:33,  国内期货夜盘开盘涨跌不一，纸浆涨超2%，棕榈油跌2.24%。,
11,2021-06-09 20:59:52,英镑兑美元GBP/USD持续走低，短线下挫近20点，现报1.4131，日内跌0.14%。,
12,2021-06-09 20:57:56,英国消息人士：没有下次联合委员会正式会议的时间表。,
